Date,# Users,Q1,Q2,Q3,Q4
"Aug 1, 2017",2,1.0,0.0,0.0,1.0
"Aug 16, 2017",1,0.0,0.0,0.0,1.0
"Aug 19, 2017",1,0.0,0.0,0.0,1.0
"Aug 21, 2017",5,0.0,2.0,1.0,2.0
"Aug 22, 2017",23994,2907.0,9132.0,4082.0,7873.0
"Aug 23, 2017",36132,4045.0,12142.0,7509.0,12436.0
"Aug 24, 2017",19520,2139.0,6609.0,4189.0,6583.0
"Aug 25, 2017",13465,1554.0,4374.0,2913.0,4624.0
"Aug 26, 2017",8321,893.0,2914.0,1686.0,2828.0
"Aug 27, 2017",9400,1083.0,3202.0,1987.0,3128.0
"Aug 28, 2017",12919,1347.0,4489.0,2747.0,4336.0
"Aug 29, 2017",11664,1226.0,3885.0,2499.0,4054.0
"Aug 30, 2017",10615,1139.0,3557.0,2243.0,3676.0
"Aug 31, 2017",10324,1109.0,3493.0,2134.0,3588.0
"Jul 10, 2017",1,0.0,1.0,0.0,0.0
"Jul 20, 2017",12,3.0,0.0,2.0,7.0
"Jul 24, 2017",1,0.0,0.0,0.0,1.0
"Jul 28, 2017",1,1.0,0.0,0.0,0.0
"Jul 29, 2017",2,1.0,0.0,0.0,1.0
"Jul 31, 2017",2,0.0,1.0,0.0,1.0
"Jun 19, 2017",1,0.0,0.0,0.0,1.0
"Oct 1, 2017",45,3.0,16.0,10.0,16.0
"Oct 10, 2017",29,1.0,10.0,7.0,11.0
"Oct 11, 2017",19,3.0,8.0,2.0,6.0
"Oct 12, 2017",18,1.0,5.0,3.0,9.0
"Oct 2, 2017",36,2.0,12.0,10.0,12.0
"Oct 3, 2017",30,2.0,9.0,7.0,12.0
"Oct 4, 2017",33,5.0,13.0,6.0,9.0
"Oct 5, 2017",23,2.0,5.0,10.0,6.0
"Oct 6, 2017",20,2.0,6.0,0.0,12.0
"Oct 7, 2017",16,4.0,3.0,1.0,8.0
"Oct 8, 2017",24,1.0,11.0,4.0,8.0
"Oct 9, 2017",20,2.0,6.0,5.0,7.0
"Sep 1, 2017",8663,975.0,3023.0,1690.0,2975.0
"Sep 10, 2017",122,14.0,42.0,21.0,45.0
"Sep 11, 2017",152,14.0,53.0,38.0,47.0
"Sep 12, 2017",172,27.0,58.0,31.0,56.0
"Sep 13, 2017",126,11.0,47.0,15.0,53.0
"Sep 14, 2017",111,14.0,37.0,28.0,32.0
"Sep 15, 2017",87,10.0,33.0,17.0,27.0
"Sep 16, 2017",87,6.0,35.0,16.0,30.0
"Sep 17, 2017",72,5.0,26.0,16.0,25.0
"Sep 18, 2017",73,10.0,23.0,13.0,27.0
"Sep 19, 2017",69,9.0,26.0,15.0,19.0
"Sep 2, 2017",6137,675.0,2105.0,1299.0,2058.0
"Sep 20, 2017",52,11.0,12.0,12.0,17.0
"Sep 21, 2017",69,11.0,19.0,9.0,30.0
"Sep 22, 2017",60,5.0,21.0,11.0,23.0
"Sep 23, 2017",74,19.0,16.0,18.0,21.0
"Sep 24, 2017",67,8.0,23.0,10.0,26.0
"Sep 25, 2017",59,11.0,26.0,5.0,17.0
"Sep 26, 2017",45,2.0,16.0,10.0,17.0
"Sep 27, 2017",36,3.0,7.0,6.0,20.0
"Sep 28, 2017",47,4.0,15.0,12.0,16.0
"Sep 29, 2017",44,5.0,9.0,7.0,23.0
"Sep 3, 2017",2022,229.0,693.0,441.0,659.0
"Sep 30, 2017",39,4.0,15.0,4.0,16.0
"Sep 4, 2017",641,73.0,214.0,137.0,217.0
"Sep 5, 2017",433,62.0,152.0,87.0,132.0
"Sep 6, 2017",301,34.0,101.0,48.0,118.0
"Sep 7, 2017",191,26.0,49.0,36.0,80.0
"Sep 8, 2017",179,19.0,53.0,36.0,71.0
"Sep 9, 2017",145,16.0,48.0,29.0,52.0
