Country,# Users,# Laptop,# Smart Phone
Afghanistan,15,8.0,4.0
Albania,68,52.0,53.0
Algeria,1114,637.0,531.0
American Samoa,1,1.0,1.0
Andorra,9,7.0,7.0
Angola,29,12.0,18.0
Anguilla,1,1.0,1.0
Anonymous Proxy,38,31.0,27.0
Antigua and Barbuda,1,1.0,0.0
Argentina,3262,2398.0,2696.0
Armenia,10,8.0,8.0
Aruba,3,3.0,2.0
Asia/Pacific Region,11,10.0,8.0
Australia,2455,2077.0,2033.0
Austria,2155,1852.0,1876.0
Azerbaijan,4,2.0,2.0
Bahamas,7,7.0,6.0
Bahrain,20,18.0,17.0
Bangladesh,840,359.0,340.0
Barbados,12,12.0,12.0
Belarus,26,23.0,23.0
Belgium,2537,2206.0,2037.0
Belize,9,8.0,9.0
Benin,90,70.0,61.0
Bhutan,4,2.0,2.0
Bolivia,430,308.0,315.0
Bosnia and Herzegovina,62,42.0,52.0
Botswana,16,10.0,12.0
Brazil,13409,10374.0,11580.0
Brunei Darussalam,12,12.0,12.0
Bulgaria,158,132.0,132.0
Burkina Faso,68,54.0,39.0
Burundi,18,13.0,15.0
Cambodia,104,34.0,31.0
Cameroon,272,209.0,191.0
Canada,4440,3652.0,3264.0
Cape Verde,6,4.0,4.0
Cayman Islands,2,2.0,2.0
Central African Republic,1,1.0,1.0
Chad,10,8.0,7.0
Chile,1417,1191.0,1236.0
China,107,91.0,92.0
Christmas Island,1,1.0,1.0
Colombia,2314,1866.0,1972.0
Comoros,6,3.0,1.0
Congo,16,15.0,14.0
"Congo, The Democratic Republic of the",58,46.0,36.0
Costa Rica,440,380.0,383.0
Cote D'Ivoire,307,224.0,208.0
Croatia,180,155.0,163.0
Cuba,107,66.0,45.0
Curacao,8,6.0,8.0
Cyprus,36,33.0,32.0
Czech Republic,150,133.0,130.0
Denmark,221,199.0,203.0
Djibouti,8,7.0,3.0
Dominica,1,1.0,1.0
Dominican Republic,244,189.0,198.0
Ecuador,1341,916.0,953.0
Egypt,307,117.0,113.0
El Salvador,369,278.0,314.0
Equatorial Guinea,6,4.0,4.0
Estonia,52,42.0,48.0
Ethiopia,79,27.0,23.0
Europe,159,141.0,153.0
Fiji,17,15.0,16.0
Finland,217,186.0,201.0
France,31985,27456.0,26301.0
French Guiana,50,43.0,36.0
French Polynesia,89,77.0,71.0
Gabon,53,44.0,45.0
Gambia,3,2.0,2.0
Georgia,20,10.0,9.0
Germany,24978,20294.0,21081.0
Ghana,105,84.0,75.0
Gibraltar,2,2.0,2.0
Greece,400,346.0,347.0
Grenada,2,2.0,1.0
Guadeloupe,102,95.0,89.0
Guam,3,3.0,3.0
Guatemala,438,334.0,369.0
Guernsey,12,10.0,9.0
Guinea,44,34.0,24.0
Guyana,15,15.0,14.0
Haiti,34,22.0,20.0
Holy See (Vatican City State),2,1.0,1.0
Honduras,203,156.0,173.0
Hong Kong,76,68.0,70.0
Hungary,122,105.0,98.0
Iceland,30,27.0,26.0
India,5822,3538.0,3713.0
Indonesia,1237,723.0,720.0
"Iran, Islamic Republic of",653,214.0,220.0
Iraq,48,24.0,23.0
Ireland,368,329.0,323.0
Isle of Man,13,12.0,9.0
Israel,160,127.0,143.0
Italy,29006,24323.0,25184.0
Jamaica,28,21.0,27.0
Japan,159,139.0,133.0
Jersey,14,13.0,12.0
Jordan,30,24.0,24.0
Kazakhstan,9,9.0,8.0
Kenya,279,233.0,239.0
"Korea, Republic of",50,41.0,41.0
Kuwait,20,17.0,18.0
Kyrgyzstan,1,1.0,1.0
Lao People's Democratic Republic,18,4.0,4.0
Latvia,44,31.0,36.0
Lebanon,51,43.0,41.0
Lesotho,4,3.0,4.0
Liberia,9,7.0,8.0
Libya,8,1.0,1.0
Liechtenstein,8,8.0,8.0
Lithuania,69,57.0,63.0
Luxembourg,219,197.0,192.0
Macau,3,3.0,3.0
Macedonia,36,27.0,26.0
Madagascar,187,143.0,133.0
Malawi,13,11.0,11.0
Malaysia,325,262.0,276.0
Maldives,12,9.0,9.0
Mali,78,55.0,40.0
Malta,44,41.0,35.0
Marshall Islands,1,1.0,1.0
Martinique,107,95.0,86.0
Mauritania,8,6.0,4.0
Mauritius,62,57.0,55.0
Mayotte,26,18.0,13.0
Mexico,6896,5435.0,5942.0
"Micronesia, Federated States of",1,1.0,0.0
"Moldova, Republic of",12,10.0,10.0
Monaco,21,21.0,19.0
Mongolia,23,12.0,12.0
Montenegro,17,11.0,13.0
Morocco,809,496.0,467.0
Mozambique,27,14.0,18.0
Myanmar,111,68.0,48.0
Namibia,24,19.0,16.0
Nepal,180,117.0,106.0
Netherlands,755,657.0,656.0
New Caledonia,141,123.0,120.0
New Zealand,587,482.0,466.0
Nicaragua,169,131.0,143.0
Niger,29,23.0,16.0
Nigeria,286,227.0,218.0
Northern Mariana Islands,1,1.0,1.0
Norway,245,224.0,226.0
Oman,19,16.0,14.0
Pakistan,480,283.0,266.0
Palestinian Territory,7,5.0,4.0
Panama,175,136.0,144.0
Papua New Guinea,12,7.0,8.0
Paraguay,281,204.0,239.0
Peru,911,655.0,702.0
Philippines,480,366.0,363.0
Poland,194,173.0,170.0
Portugal,317,270.0,269.0
Puerto Rico,106,84.0,89.0
Qatar,33,27.0,28.0
Reunion,390,355.0,324.0
Romania,408,327.0,335.0
Russian Federation,187,153.0,168.0
Rwanda,22,14.0,12.0
Saint Kitts and Nevis,2,2.0,2.0
Saint Lucia,2,2.0,2.0
Saint Martin,1,1.0,1.0
Saint Pierre and Miquelon,6,4.0,5.0
Saint Vincent and the Grenadines,1,1.0,1.0
San Marino,15,14.0,12.0
Sao Tome and Principe,1,0.0,0.0
Saudi Arabia,107,72.0,77.0
Senegal,192,133.0,118.0
Serbia,199,143.0,164.0
Seychelles,3,2.0,3.0
Sierra Leone,6,3.0,5.0
Singapore,173,148.0,159.0
Sint Maarten (Dutch part),1,1.0,1.0
Slovakia,73,63.0,57.0
Slovenia,73,59.0,68.0
Solomon Islands,2,2.0,1.0
Somalia,11,4.0,1.0
South Africa,468,402.0,430.0
South Sudan,2,1.0,1.0
Spain,5851,4995.0,5212.0
Sri Lanka,119,82.0,87.0
Sudan,41,16.0,14.0
Suriname,4,3.0,2.0
Swaziland,5,5.0,5.0
Sweden,336,298.0,307.0
Switzerland,3697,3179.0,3162.0
Syrian Arab Republic,19,10.0,10.0
Taiwan,52,43.0,44.0
Tajikistan,1,1.0,1.0
"Tanzania, United Republic of",72,54.0,51.0
Thailand,220,148.0,146.0
Togo,73,52.0,46.0
Tonga,2,2.0,1.0
Trinidad and Tobago,33,29.0,30.0
Tunisia,281,211.0,179.0
Turkey,159,136.0,136.0
Turks and Caicos Islands,1,1.0,1.0
Uganda,73,56.0,52.0
Ukraine,74,69.0,66.0
United Arab Emirates,155,129.0,130.0
United Kingdom,5089,4326.0,4134.0
United States,20254,16852.0,16331.0
Uruguay,475,373.0,389.0
Uzbekistan,1,1.0,1.0
Vanuatu,3,3.0,2.0
Venezuela,1666,1149.0,1059.0
Vietnam,140,85.0,83.0
"Virgin Islands, U.S.",4,3.0,3.0
Wallis and Futuna,1,0.0,0.0
Yemen,4,1.0,1.0
Zambia,29,21.0,21.0
Zimbabwe,61,53.0,48.0
