Country,# Users,# Fear - Privacy Loss,# Fear - Lose Touch,# Fear - None,# Fear - Other,# Fear - Be Less Safe
Afghanistan,8,1.0,3.0,3.0,1.0,0.0
Albania,58,25.0,16.0,6.0,3.0,8.0
Algeria,685,236.0,198.0,93.0,44.0,114.0
American Samoa,1,0.0,0.0,0.0,1.0,0.0
Andorra,8,5.0,1.0,0.0,0.0,2.0
Angola,17,3.0,4.0,4.0,1.0,5.0
Anguilla,1,0.0,1.0,0.0,0.0,0.0
Anonymous Proxy,36,24.0,5.0,0.0,4.0,3.0
Antigua and Barbuda,1,0.0,0.0,1.0,0.0,0.0
Argentina,3082,1289.0,787.0,413.0,260.0,333.0
Armenia,8,3.0,2.0,0.0,1.0,2.0
Aruba,3,0.0,2.0,0.0,0.0,1.0
Asia/Pacific Region,11,5.0,5.0,0.0,1.0,0.0
Australia,2407,1161.0,415.0,166.0,297.0,368.0
Austria,2075,1035.0,427.0,158.0,185.0,270.0
Azerbaijan,2,0.0,1.0,1.0,0.0,0.0
Bahamas,7,3.0,1.0,0.0,0.0,3.0
Bahrain,17,11.0,1.0,1.0,1.0,3.0
Bangladesh,363,154.0,84.0,48.0,15.0,62.0
Barbados,12,5.0,4.0,0.0,0.0,3.0
Belarus,26,12.0,4.0,3.0,1.0,6.0
Belgium,2428,1163.0,532.0,119.0,308.0,306.0
Belize,9,5.0,2.0,0.0,1.0,1.0
Benin,72,27.0,11.0,11.0,6.0,17.0
Bhutan,3,2.0,0.0,1.0,0.0,0.0
Bolivia,379,162.0,92.0,57.0,20.0,48.0
Bosnia and Herzegovina,50,20.0,13.0,6.0,0.0,11.0
Botswana,12,4.0,3.0,1.0,0.0,4.0
Brazil,12436,5136.0,2735.0,1621.0,979.0,1965.0
Brunei Darussalam,11,5.0,3.0,0.0,1.0,2.0
Bulgaria,145,54.0,40.0,12.0,10.0,29.0
Burkina Faso,52,20.0,4.0,5.0,6.0,17.0
Burundi,14,6.0,0.0,4.0,0.0,4.0
Cambodia,39,16.0,9.0,0.0,5.0,9.0
Cameroon,222,103.0,32.0,25.0,18.0,44.0
Canada,4296,2083.0,844.0,286.0,553.0,530.0
Cape Verde,6,2.0,1.0,3.0,0.0,0.0
Cayman Islands,2,0.0,1.0,0.0,0.0,1.0
Central African Republic,1,0.0,0.0,0.0,1.0,0.0
Chad,9,2.0,3.0,1.0,1.0,2.0
Chile,1343,616.0,358.0,136.0,113.0,120.0
China,98,39.0,18.0,5.0,6.0,30.0
Christmas Island,1,0.0,0.0,0.0,0.0,1.0
Colombia,2148,1072.0,494.0,217.0,123.0,242.0
Comoros,3,0.0,1.0,1.0,0.0,1.0
Congo,11,6.0,2.0,0.0,0.0,3.0
"Congo, The Democratic Republic of the",46,18.0,7.0,8.0,5.0,8.0
Costa Rica,420,210.0,101.0,44.0,24.0,41.0
Cote D'Ivoire,240,126.0,29.0,16.0,11.0,58.0
Croatia,169,70.0,41.0,17.0,11.0,30.0
Cuba,97,45.0,20.0,21.0,5.0,6.0
Curacao,8,2.0,2.0,0.0,2.0,2.0
Cyprus,35,14.0,4.0,5.0,5.0,7.0
Czech Republic,145,73.0,32.0,5.0,9.0,26.0
Denmark,219,113.0,42.0,14.0,19.0,31.0
Djibouti,7,2.0,1.0,2.0,0.0,2.0
Dominica,1,1.0,0.0,0.0,0.0,0.0
Dominican Republic,223,100.0,53.0,37.0,7.0,26.0
Ecuador,1177,522.0,316.0,141.0,72.0,126.0
Egypt,119,45.0,27.0,13.0,13.0,21.0
El Salvador,349,157.0,93.0,36.0,21.0,42.0
Equatorial Guinea,3,2.0,1.0,0.0,0.0,0.0
Estonia,51,20.0,12.0,3.0,4.0,12.0
Ethiopia,34,12.0,7.0,3.0,4.0,8.0
Europe,157,81.0,35.0,7.0,11.0,23.0
Fiji,17,13.0,1.0,2.0,0.0,1.0
Finland,216,111.0,41.0,9.0,19.0,36.0
France,30728,15545.0,7013.0,1288.0,3381.0,3501.0
French Guiana,47,17.0,13.0,3.0,6.0,8.0
French Polynesia,85,40.0,22.0,5.0,9.0,9.0
Gabon,42,18.0,8.0,5.0,0.0,11.0
Gambia,2,1.0,0.0,0.0,0.0,1.0
Georgia,11,6.0,1.0,0.0,1.0,3.0
Germany,23848,11748.0,4929.0,1868.0,2030.0,3273.0
Ghana,78,40.0,9.0,9.0,4.0,16.0
Gibraltar,2,1.0,0.0,0.0,0.0,1.0
Greece,381,198.0,78.0,30.0,27.0,48.0
Grenada,2,0.0,0.0,0.0,1.0,1.0
Guadeloupe,98,46.0,23.0,4.0,11.0,14.0
Guam,3,0.0,1.0,0.0,1.0,1.0
Guatemala,406,208.0,98.0,40.0,14.0,46.0
Guernsey,12,5.0,1.0,2.0,0.0,4.0
Guinea,30,11.0,2.0,7.0,1.0,9.0
Guyana,13,6.0,3.0,3.0,0.0,1.0
Haiti,24,9.0,4.0,5.0,1.0,5.0
Holy See (Vatican City State),2,0.0,2.0,0.0,0.0,0.0
Honduras,185,86.0,46.0,16.0,9.0,28.0
Hong Kong,72,41.0,11.0,2.0,8.0,10.0
Hungary,113,48.0,21.0,7.0,8.0,29.0
Iceland,29,17.0,4.0,4.0,3.0,1.0
India,3795,1707.0,850.0,423.0,204.0,611.0
Indonesia,761,326.0,191.0,87.0,41.0,116.0
"Iran, Islamic Republic of",249,96.0,63.0,39.0,15.0,36.0
Iraq,23,13.0,2.0,2.0,2.0,4.0
Ireland,362,212.0,71.0,17.0,25.0,37.0
Isle of Man,13,6.0,3.0,0.0,2.0,2.0
Israel,157,67.0,32.0,11.0,15.0,32.0
Italy,27562,7755.0,11769.0,1497.0,1479.0,5062.0
Jamaica,27,16.0,4.0,3.0,0.0,4.0
Japan,154,81.0,26.0,7.0,15.0,25.0
Jersey,14,7.0,2.0,1.0,0.0,4.0
Jordan,28,12.0,7.0,3.0,3.0,3.0
Kazakhstan,9,4.0,1.0,0.0,0.0,4.0
Kenya,245,122.0,48.0,45.0,4.0,26.0
"Korea, Republic of",45,25.0,8.0,2.0,3.0,7.0
Kuwait,18,6.0,6.0,0.0,3.0,3.0
