Country,Excitement - # Users,Excitement - # None,Excitement - # Have Fun,Excitement - # Bring World Together,Excitement - # Make Us Smart/Better Educated,Excitement - # Make Life Easier,Excitement - # Other
Afghanistan,9,0.0,0.0,1.0,3.0,4.0,1.0
Albania,57,8.0,7.0,11.0,10.0,16.0,5.0
Algeria,668,116.0,38.0,108.0,148.0,215.0,43.0
American Samoa,1,1.0,0.0,0.0,0.0,0.0,0.0
Andorra,8,2.0,1.0,2.0,0.0,2.0,1.0
Angola,18,3.0,1.0,3.0,2.0,7.0,2.0
Anguilla,1,0.0,0.0,0.0,1.0,0.0,0.0
Anonymous Proxy,36,14.0,2.0,5.0,4.0,3.0,8.0
Antigua and Barbuda,1,0.0,0.0,1.0,0.0,0.0,0.0
Argentina,3091,854.0,371.0,412.0,498.0,617.0,339.0
Armenia,8,2.0,0.0,1.0,3.0,1.0,1.0
Aruba,3,0.0,0.0,1.0,1.0,1.0,0.0
Asia/Pacific Region,11,1.0,0.0,4.0,1.0,2.0,3.0
Australia,2416,735.0,181.0,408.0,444.0,383.0,265.0
Austria,2072,647.0,182.0,373.0,253.0,511.0,106.0
Azerbaijan,3,0.0,1.0,0.0,0.0,2.0,0.0
Bahamas,7,1.0,1.0,0.0,4.0,1.0,0.0
Bahrain,17,2.0,1.0,3.0,3.0,8.0,0.0
Bangladesh,370,23.0,29.0,64.0,85.0,151.0,18.0
Barbados,12,3.0,2.0,0.0,4.0,3.0,0.0
Belarus,26,4.0,3.0,3.0,7.0,8.0,1.0
Belgium,2427,757.0,168.0,271.0,361.0,623.0,247.0
Belize,9,3.0,1.0,1.0,1.0,2.0,1.0
Benin,75,9.0,6.0,22.0,16.0,17.0,5.0
Bhutan,3,0.0,0.0,1.0,1.0,1.0,0.0
Bolivia,381,62.0,64.0,52.0,70.0,104.0,29.0
Bosnia and Herzegovina,49,10.0,6.0,7.0,14.0,11.0,1.0
Botswana,12,1.0,1.0,4.0,2.0,3.0,1.0
Brazil,12611,2445.0,1134.0,1038.0,1052.0,5492.0,1450.0
Brunei Darussalam,12,2.0,0.0,3.0,2.0,5.0,0.0
Bulgaria,146,33.0,15.0,26.0,33.0,34.0,5.0
Burkina Faso,53,11.0,0.0,15.0,9.0,14.0,4.0
Burundi,14,3.0,1.0,2.0,4.0,3.0,1.0
Cambodia,40,6.0,1.0,12.0,9.0,7.0,5.0
Cameroon,223,26.0,8.0,44.0,48.0,79.0,18.0
Canada,4306,1350.0,328.0,693.0,700.0,745.0,490.0
Cape Verde,6,0.0,0.0,4.0,1.0,1.0,0.0
Cayman Islands,2,1.0,0.0,0.0,0.0,1.0,0.0
Central African Republic,1,0.0,0.0,0.0,0.0,1.0,0.0
Chad,9,0.0,0.0,1.0,4.0,3.0,1.0
Chile,1352,316.0,214.0,148.0,217.0,314.0,143.0
China,98,11.0,13.0,16.0,20.0,32.0,6.0
Christmas Island,1,0.0,0.0,1.0,0.0,0.0,0.0
Colombia,2171,466.0,323.0,266.0,395.0,550.0,171.0
Comoros,3,0.0,0.0,1.0,1.0,1.0,0.0
Congo,12,2.0,0.0,1.0,5.0,3.0,1.0
"Congo, The Democratic Republic of the",46,11.0,2.0,10.0,3.0,16.0,4.0
Costa Rica,422,97.0,60.0,44.0,69.0,113.0,39.0
Cote D'Ivoire,236,34.0,26.0,34.0,49.0,86.0,7.0
Croatia,170,37.0,29.0,16.0,36.0,41.0,11.0
Cuba,98,6.0,13.0,21.0,17.0,31.0,10.0
Curacao,8,0.0,0.0,0.0,3.0,4.0,1.0
Cyprus,35,3.0,2.0,13.0,4.0,8.0,5.0
Czech Republic,144,31.0,15.0,24.0,29.0,43.0,2.0
Denmark,219,51.0,15.0,41.0,52.0,48.0,12.0
Djibouti,7,1.0,0.0,3.0,1.0,2.0,0.0
Dominica,1,0.0,0.0,0.0,0.0,1.0,0.0
Dominican Republic,223,33.0,22.0,30.0,48.0,79.0,11.0
Ecuador,1196,186.0,209.0,182.0,220.0,308.0,91.0
